Country/Territory,UN Region,IMF[5][6],IMF[5][6],World Bank[7],World Bank[7],CIA[8],CIA[8]
Country/Territory,UN Region,Estimate,Year,Estimate,Year,Estimate,Year
Monaco *,Europe,N/A,N/A,"190,513",2019,"115,700",2015
Liechtenstein *,Europe,N/A,N/A,"180,367",2018,"139,100",2009
Luxembourg *,Europe,"140,694",2022,"118,360",2020,"110,300",2020
Singapore *,Asia,"131,580",2022,"98,526",2020,"93,400",2020
Ireland *,Europe,"124,596",2022,"93,612",2020,"89,700",2020
Qatar *,Asia,"112,789",2022,"89,949",2020,"85,300",2020
Macau *,Asia,"85,612",2022,"57,807",2020,"54,800",2020
Switzerland *,Europe,"84,658",2022,"71,352",2020,"68,400",2020
Isle of Man *,Europe,N/A,N/A,N/A,N/A,"84,600",2014
Bermuda *,Americas,N/A,N/A,"80,830",2020,"81,800",2019
United Arab Emirates *,Asia,"78,255",2022,"69,958",2019,"67,100",2019
Norway *,Europe,"77,808",2022,"63,198",2020,"63,600",2020
United States *,Americas,"76,027",2022,"63,544",2020,"60,200",2020
Brunei *,Asia,"74,953",2022,"65,662",2020,"62,200",2020
Cayman Islands *,Americas,N/A,N/A,"71,594",2020,"73,600",2019
Falkland Islands *,Americas,N/A,N/A,N/A,N/A,"70,800",2015
Hong Kong *,Asia,"70,448",2022,"59,238",2020,"56,200",2020
San Marino *,Europe,"70,139",2022,"63,420",2019,"60,800",2019
Denmark *,Europe,"69,273",2022,"60,399",2020,"55,900",2020
Taiwan *,Asia,"68,730",2022,N/A,N/A,"24,502",2018
Netherlands *,Europe,"68,572",2022,"59,229",2020,"54,200",2020
Austria *,Europe,"64,751",2022,"55,098",2020,"51,900",2020
Iceland *,Europe,"64,621",2022,"55,216",2020,"52,300",2020
Andorra *,Europe,"63,600",2022,N/A,N/A,"49,900",2015
Germany *,Europe,"63,271",2022,"53,694",2020,"50,900",2020
Sweden *,Europe,"62,926",2022,"54,563",2020,"50,700",2020
Australia *,Oceania,"61,941",2022,"52,518",2020,"48,700",2020
Gibraltar *,Europe,N/A,N/A,N/A,N/A,"61,700",2014
Belgium *,Europe,"61,587",2022,"51,968",2020,"48,200",2020
Finland *,Europe,"58,010",2022,"51,090",2020,"47,300",2020
Canada *,Americas,"57,812",2022,"48,073",2020,"45,900",2020
Bahrain *,Asia,"57,424",2022,"43,181",2020,"45,011",2019
Jersey *,Europe,N/A,N/A,N/A,N/A,"56,600",2016
France *,Europe,"56,036",2022,"46,227",2020,"46,184",2019
Saudi Arabia *,Asia,"55,368",2022,"46,763",2020,"46,962",2019
United Kingdom *,Europe,"55,301",2022,"44,916",2020,"46,659",2019
Malta *,Europe,"54,647",2022,"42,640",2020,"44,032",2019
European Union *,Europe,"53,201",2022,"44,491",2020,"44,436",2019
South Korea *,Asia,"53,051",2022,"43,124",2020,"42,765",2019
Guernsey *,Europe,N/A,N/A,N/A,N/A,"52,500",2014
Kuwait *,Asia,"50,919",2022,"51,962",2019,"49,900",2019
New Zealand *,Oceania,"50,411",2022,"44,252",2020,"42,888",2019
Italy *,Europe,"50,216",2022,"41,840",2020,"42,492",2019
Israel *,Asia,"50,204",2022,"41,855",2020,"40,145",2019
Japan *,Asia,"48,814",2022,"42,197",2019,"41,429",2019
Slovenia *,Europe,"48,534",2022,"39,593",2020,"39,088",2019
Cyprus *,Asia,"48,443",2022,"38,458",2020,"39,545",2019
Czech Republic *,Europe,"47,527",2022,"41,737",2020,"40,862",2019
Lithuania *,Europe,"46,479",2022,"38,735",2020,"37,231",2019
Spain *,Europe,"46,413",2022,"38,335",2020,"40,903",2019
Saint Pierre and Miquelon *,Americas,N/A,N/A,N/A,N/A,"46,200",2006
Estonia *,Europe,"44,778",2022,"38,395",2020,"36,927",2019
Puerto Rico *,Americas,"42,759",2022,"35,279",2020,"33,400",2020
Greenland *,Americas,N/A,N/A,N/A,N/A,"41,800",2015
Poland *,Europe,"41,685",2022,"34,265",2020,"33,221",2019
Hungary *,Europe,"40,944",2022,"33,084",2020,"32,945",2019
Portugal *,Europe,"40,805",2022,"34,496",2020,"34,894",2019
Bahamas *,Americas,"40,274",2022,"32,454",2020,"30,800",2020
Faroe Islands *,Europe,N/A,N/A,N/A,N/A,"40,000",2014
Aruba *,Americas,"39,508",2022,"38,897",2017,"37,500",2017
Slovakia *,Europe,"38,620",2022,"31,832",2020,"32,730",2019
Guyana *,Americas,"38,258",2022,"19,706",2020,"13,082",2019
Turkey *,Asia,"37,488",2022,"28,120",2020,"28,424",2019
Latvia *,Europe,"37,330",2022,"32,019",2020,"30,898",2019
